# gamble_id, class_id, h_ret, h_prob, m_ret, m_prob, l_ret, l_prob
0, 2, 2.282317, 0.044221, 0.542334, 0.660772, 0.410968, 0.295007 
1, 8, 1.788593, 0.410409, 1.096034, 0.548927, 0.999217, 0.040665 
2, 10, 2.563871, 0.358439, 1.792731, 0.407776, 1.250271, 0.233785 
3, 2, 7.087902, 0.190970, 0.803852, 0.534752, 0.389599, 0.274278 
4, 15, 2.596214, 0.129630, 2.486318, 0.661049, 2.483177, 0.209321 
5, 12, 3.298825, 0.203009, 1.937378, 0.580514, 1.710982, 0.216477 
6, 15, 3.766252, 0.360591, 1.109294, 0.521374, 0.457187, 0.118035 
7, 6, 5.966549, 0.341036, 2.931633, 0.597569, 0.087063, 0.061395 
8, 12, 2.630353, 0.276896, 1.227306, 0.501483, 0.016515, 0.221621 
9, 8, 0.322978, 0.266133, 0.293175, 0.714326, 0.142407, 0.019540 
10, 10, 3.805171, 0.303888, 3.693860, 0.433682, 3.214643, 0.262430 
11, 9, 0.733745, 0.318737, 0.153928, 0.490931, 0.087444, 0.190332 
12, 5, 3.330743, 0.363924, 2.222835, 0.583215, 0.391307, 0.052861 
13, 15, 5.989295, 0.202472, 2.439987, 0.740396, 0.088561, 0.057132 
14, 4, 9.227013, 0.094761, 2.733715, 0.775286, 0.628185, 0.129953 
15, 6, 2.175406, 0.208238, 0.477138, 0.572794, 0.401912, 0.218968 
16, 8, 2.414842, 0.276667, 2.225343, 0.437242, 2.064554, 0.286090 
17, 6, 2.098870, 0.200669, 0.618472, 0.632345, 0.481617, 0.166986 
18, 6, 5.462139, 0.107091, 4.893659, 0.613506, 0.608314, 0.279403 
19, 9, 2.657203, 0.165311, 1.405981, 0.582900, 0.991082, 0.251789 
20, 11, 13.945034, 0.139267, 2.073828, 0.558185, 1.826610, 0.302547 
21, 2, 1.269313, 0.240116, 1.149889, 0.668627, 1.011416, 0.091258 
22, 12, 1.225117, 0.179632, 1.062875, 0.637894, 0.735525, 0.182475 
23, 1, 4.492618, 0.354452, 3.660920, 0.643987, 3.534386, 0.001561 
24, 4, 1.323699, 0.246431, 0.518235, 0.420154, 0.047965, 0.333416 
25, 2, 5.863091, 0.155161, 3.086815, 0.668375, 2.202780, 0.176464 
26, 0, 5.794891, 0.223072, 2.982195, 0.525919, 2.128277, 0.251009 
27, 9, 4.451713, 0.363799, 1.148127, 0.609477, 0.637592, 0.026724 
28, 12, 5.242851, 0.298540, 2.228709, 0.456587, 0.723285, 0.244873 
29, 11, 2.888101, 0.315114, 1.790606, 0.684575, 1.494319, 0.000311 
30, 4, 57.605160, 0.032335, 1.279751, 0.609268, 0.791746, 0.358397 
31, 13, 1.879461, 0.275727, 1.643954, 0.438336, 1.380185, 0.285937 
32, 6, 0.974571, 0.273820, 0.477818, 0.518100, 0.381870, 0.208080 
33, 4, 1.188932, 0.209098, 0.685004, 0.631072, 0.583284, 0.159830 
34, 6, 5.091564, 0.173772, 3.664295, 0.686119, 3.549399, 0.140109 
35, 15, 10.517697, 0.101289, 1.943125, 0.489938, 1.889839, 0.408773 
36, 15, 229.839199, 0.004060, 1.068632, 0.646083, 0.893399, 0.349858 
37, 12, 13.246781, 0.071688, 1.745017, 0.853798, 0.180567, 0.074514 
38, 9, 3.373707, 0.177842, 3.082626, 0.770511, 2.934983, 0.051646 
39, 3, 1.686540, 0.189751, 1.653079, 0.471508, 1.441071, 0.338741 
40, 13, 5.619849, 0.304848, 1.427882, 0.686000, 0.386234, 0.009151 
41, 14, 0.748755, 0.086256, 0.148822, 0.673292, 0.129938, 0.240452 
42, 9, 0.706386, 0.125665, 0.295016, 0.723129, 0.268920, 0.151206 
43, 11, 6.126757, 0.209580, 0.746987, 0.598433, 0.083994, 0.191988 
