# gamble_id, class_id, h_ret, h_prob, m_ret, m_prob, l_ret, l_prob
0, 11, 11.368027, 0.027185, 2.326695, 0.879972, 2.035532, 0.092843 
1, 2, 17.333595, 0.150247, 1.255251, 0.719100, 0.016228, 0.130652 
2, 15, 3.022617, 0.096887, 0.428077, 0.418870, 0.368006, 0.484243 
3, 0, 14.997483, 0.161062, 1.963110, 0.600146, 1.373164, 0.238792 
4, 3, 1.001790, 0.049067, 0.524217, 0.722921, 0.265899, 0.228012 
5, 9, 8.527246, 0.267171, 1.835397, 0.633879, 1.461055, 0.098950 
6, 12, 2.407527, 0.120302, 2.058233, 0.657153, 1.537590, 0.222545 
7, 5, 4.309847, 0.186069, 2.414043, 0.566320, 2.142728, 0.247612 
8, 14, 0.460510, 0.160076, 0.449985, 0.629276, 0.318284, 0.210648 
9, 15, 3.373257, 0.540654, 3.329645, 0.419347, 2.586334, 0.039998 
10, 0, 2.272549, 0.329429, 1.743198, 0.575615, 1.334513, 0.094956 
11, 15, 3.708960, 0.427792, 3.566973, 0.536875, 0.620357, 0.035332 
12, 13, 4.868546, 0.310615, 4.162741, 0.401869, 0.227355, 0.287516 
13, 13, 4.459913, 0.215908, 3.246105, 0.579107, 2.653820, 0.204984 
14, 10, 5.962378, 0.114085, 2.922676, 0.626104, 2.261452, 0.259811 
15, 3, 7.692383, 0.141757, 4.345202, 0.586240, 0.679638, 0.272003 
16, 0, 5.555970, 0.195374, 2.330076, 0.715431, 2.008788, 0.089195 
17, 15, 2.390376, 0.140344, 1.570670, 0.662232, 0.873589, 0.197424 
18, 4, 11.421066, 0.078802, 2.604210, 0.564042, 2.350804, 0.357156 
19, 13, 2.052624, 0.255343, 1.776451, 0.640345, 0.090365, 0.104312 
20, 6, 0.147053, 0.162891, 0.066462, 0.599243, 0.047715, 0.237866 
21, 13, 0.569305, 0.424198, 0.132071, 0.425729, 0.072306, 0.150073 
22, 15, 1.862800, 0.131014, 0.602888, 0.797988, 0.402602, 0.070999 
23, 13, 5.887541, 0.083654, 4.047561, 0.548573, 1.224342, 0.367773 
24, 8, 0.939898, 0.259571, 0.801277, 0.654682, 0.659106, 0.085746 
25, 7, 1.709193, 0.341189, 1.635477, 0.574270, 1.540069, 0.084541 
26, 7, 0.627667, 0.314485, 0.196195, 0.618988, 0.175575, 0.066527 
27, 15, 4.900970, 0.313640, 0.873527, 0.418824, 0.246011, 0.267537 
28, 9, 6.327690, 0.315026, 0.795501, 0.595431, 0.615191, 0.089544 
29, 10, 6.000764, 0.207734, 3.069764, 0.646989, 0.820381, 0.145277 
30, 3, 1.110575, 0.128807, 0.732220, 0.557799, 0.332902, 0.313395 
31, 8, 1.621641, 0.206180, 1.473097, 0.727685, 0.314571, 0.066135 
32, 10, 3.942437, 0.270973, 3.204404, 0.509454, 2.501389, 0.219573 
33, 10, 10.432572, 0.026312, 2.593243, 0.805745, 0.477052, 0.167943 
34, 1, 39.591419, 0.009454, 3.501843, 0.746677, 3.164335, 0.243869 
35, 1, 3.156716, 0.320962, 2.939991, 0.598851, 2.807091, 0.080187 
36, 10, 4.483483, 0.403784, 2.576493, 0.402964, 1.236840, 0.193252 
37, 12, 4.410025, 0.223913, 1.281813, 0.552292, 0.679586, 0.223795 
38, 5, 4.877192, 0.302088, 1.985938, 0.675202, 0.161197, 0.022710 
39, 12, 28.326986, 0.031964, 0.363654, 0.637660, 0.205496, 0.330376 
40, 10, 0.916003, 0.313055, 0.755244, 0.668962, 0.225197, 0.017982 
41, 1, 5.934141, 0.102905, 1.146063, 0.825609, 0.296405, 0.071487 
42, 3, 0.147858, 0.162608, 0.065154, 0.626541, 0.047319, 0.210850 
43, 15, 3.965170, 0.175490, 3.828149, 0.405070, 3.718036, 0.419440 
44, 9, 4.059647, 0.225615, 3.900219, 0.643534, 3.579928, 0.130851 
45, 4, 0.178455, 0.293959, 0.151380, 0.633507, 0.128713, 0.072535 
46, 4, 4.277183, 0.365366, 1.078554, 0.527414, 0.464370, 0.107220 
47, 13, 0.522764, 0.210730, 0.351126, 0.492408, 0.293399, 0.296862 
48, 2, 3.218856, 0.357239, 3.103130, 0.558752, 2.942568, 0.084009 
49, 13, 4.610519, 0.190079, 3.693339, 0.672932, 2.272469, 0.136988 
50, 5, 2.996257, 0.042563, 2.835633, 0.519293, 2.491498, 0.438145 
51, 5, 1.884658, 0.228296, 1.221271, 0.640640, 1.055172, 0.131064 
52, 6, 10.167519, 0.151557, 2.635305, 0.622242, 2.427381, 0.226201 
53, 11, 6.621241, 0.184953, 2.276650, 0.533110, 2.065103, 0.281937 
54, 13, 0.625544, 0.285429, 0.269803, 0.558114, 0.095485, 0.156457 
55, 12, 6.141071, 0.118330, 2.013868, 0.566048, 0.183117, 0.315622 
56, 2, 0.845223, 0.212313, 0.155346, 0.510557, 0.125721, 0.277130 
57, 13, 1.721367, 0.204964, 0.472393, 0.651626, 0.293819, 0.143410 
58, 3, 5.543492, 0.265156, 0.589910, 0.550941, 0.431574, 0.183903 
59, 10, 1.418103, 0.477925, 1.359328, 0.520060, 1.132956, 0.002015 
60, 1, 3.737304, 0.273141, 3.520740, 0.463877, 2.001582, 0.262982 
61, 11, 5.501062, 0.141596, 2.574141, 0.789272, 2.479990, 0.069133 
62, 11, 1.334878, 0.359362, 1.085920, 0.607091, 0.468259, 0.033546 
63, 2, 26.107972, 0.014977, 2.437967, 0.869755, 2.209337, 0.115269 
64, 9, 8.892357, 0.199320, 2.022266, 0.612321, 0.256459, 0.188358 
65, 5, 0.500956, 0.445489, 0.319690, 0.412795, 0.291572, 0.141716 
66, 14, 3.890228, 0.191245, 0.994621, 0.585636, 0.042361, 0.223119 
67, 2, 2.862794, 0.180700, 1.560732, 0.726986, 1.122796, 0.092314 
68, 5, 1.905328, 0.275142, 1.483769, 0.467046, 0.533059, 0.257812 
69, 5, 5.452038, 0.146087, 2.089187, 0.632778, 1.830396, 0.221135 
70, 6, 42.026904, 0.069176, 0.754245, 0.618314, 0.631981, 0.312510 
71, 4, 0.540167, 0.130218, 0.133751, 0.565221, 0.098979, 0.304562 
72, 0, 5.008220, 0.196461, 0.843028, 0.561760, 0.341863, 0.241779 
73, 5, 2.039091, 0.144302, 0.799436, 0.691658, 0.459725, 0.164041 
74, 7, 0.969597, 0.212583, 0.759338, 0.633638, 0.020450, 0.153780 
75, 8, 9.193507, 0.151895, 3.257723, 0.565226, 0.090724, 0.282879 
76, 11, 2.626584, 0.356345, 2.578705, 0.446091, 1.119506, 0.197563 
77, 2, 1.904272, 0.379084, 1.055412, 0.564562, 1.040427, 0.056353 
78, 2, 38.937769, 0.019312, 1.635053, 0.721723, 1.067516, 0.258965 
79, 11, 0.691845, 0.257338, 0.175839, 0.444009, 0.158546, 0.298653 
80, 10, 4.171126, 0.238299, 3.155113, 0.723801, 2.939330, 0.037901 
81, 0, 2.170673, 0.355672, 1.110426, 0.438555, 1.017098, 0.205773 
82, 0, 7.003060, 0.153526, 1.526760, 0.640728, 0.132875, 0.205746 
83, 1, 4.279217, 0.250920, 0.186399, 0.487791, 0.091429, 0.261288 
84, 9, 7.372276, 0.253230, 1.088789, 0.684208, 1.018128, 0.062563 
85, 7, 3.787911, 0.522190, 3.078284, 0.477653, 2.867592, 0.000157 
86, 3, 9.478312, 0.241637, 0.997508, 0.582527, 0.883749, 0.175836 
